"inventory_id","section","provider_or_pack","relative_path","file_type","title_guess","source_role","reuse_status","notes"
"RES-001","downloaded_sources","Code.org___CSforALL","downloaded_sources\Code.org___CSforALL\Hour_of_AI_Activities.html","html","Hour of AI Activities","teaching_reference","validated_reference_candidate",""
"RES-002","downloaded_sources","Code.org","downloaded_sources\Code.org\Artificial_Intelligence_Foundations.html","html","Artificial Intelligence Foundations","teaching_reference","validated_reference_candidate",""
"RES-003","downloaded_sources","Code.org","downloaded_sources\Code.org\Chatbots_and_Large_Language_Models_(LLMs).html","html","Chatbots and Large Language Models (LLMs)","teaching_reference","validated_reference_candidate",""
"RES-004","downloaded_sources","Code.org","downloaded_sources\Code.org\Interacting_with_Language_Models.html","html","Interacting with Language Models","teaching_reference","validated_reference_candidate",""
"RES-005","downloaded_sources","Code.org","downloaded_sources\Code.org\Introduction_to_Generative_AI.html","html","Introduction to Generative AI","teaching_reference","validated_reference_candidate",""
"RES-006","downloaded_sources","Code.org","downloaded_sources\Code.org\Societal_Impact_of_Generative_AI.html","html","Societal Impact of Generative AI","teaching_reference","validated_reference_candidate",""
"RES-007","downloaded_sources","Code.org","downloaded_sources\Code.org\Teach_and_Learn_AI_with_Code.org.html","html","Teach and Learn AI with Code.org","teaching_reference","validated_reference_candidate",""
"RES-008","downloaded_sources","Code.org","downloaded_sources\Code.org\Teach_and_Learn_AI.html","html","Teach and Learn AI","teaching_reference","validated_reference_candidate",""
"RES-009","downloaded_sources","Code.org","downloaded_sources\Code.org\Writing_Process_with_AI_Tools.html","html","Writing Process with AI Tools","teaching_reference","validated_reference_candidate",""
"RES-010","downloaded_sources","Google","downloaded_sources\Google\Teachable_Machine_FAQ.html","html","Teachable Machine FAQ","tool_reference","validated_reference_candidate",""
"RES-011","downloaded_sources","Google","downloaded_sources\Google\Teachable_Machine.html","html","Teachable Machine","tool_reference","validated_reference_candidate",""
"RES-012","downloaded_sources","ISTE+ASCD","downloaded_sources\ISTE+ASCD\AI_Lessons.html","html","AI Lessons","teaching_reference","validated_reference_candidate",""
"RES-013","downloaded_sources","ISTE+ASCD","downloaded_sources\ISTE+ASCD\Artificial_Intelligence_in_Education.html","html","Artificial Intelligence in Education","teaching_reference","validated_reference_candidate",""
"RES-014","downloaded_sources","Machine_Learning_for_Kids","downloaded_sources\Machine_Learning_for_Kids\Project_Worksheets.html","html","Project Worksheets","activity_reference","validated_reference_candidate",""
"RES-015","downloaded_sources","Machine_Learning_for_Kids","downloaded_sources\Machine_Learning_for_Kids\Worksheets.html","html","Worksheets","activity_reference","validated_reference_candidate",""
"RES-016","downloaded_sources","OpenAI_Academy","downloaded_sources\OpenAI_Academy\ChatGPT_Foundations_for_Teachers.html","html","ChatGPT Foundations for Teachers","primary_reference","validated_reference_candidate",""
"RES-017","downloaded_sources","OpenAI_Academy","downloaded_sources\OpenAI_Academy\K-12_Education_Community_Overview.html","html","K-12 Education Community Overview","primary_reference","validated_reference_candidate",""
"RES-018","downloaded_sources","OpenAI","downloaded_sources\OpenAI\ChatGPT agent _ OpenAI Help Center.pdf","pdf","ChatGPT agent OpenAI Help Center","primary_reference","validated_reference_candidate",""
"RES-019","downloaded_sources","OpenAI","downloaded_sources\OpenAI\ChatGPT Capabilities Overview _ OpenAI Help Center.pdf","pdf","ChatGPT Capabilities Overview OpenAI Help Center","primary_reference","validated_reference_candidate",""
"RES-020","downloaded_sources","OpenAI","downloaded_sources\OpenAI\ChatGPT Custom Instructions _ OpenAI Help Center.pdf","pdf","ChatGPT Custom Instructions OpenAI Help Center","primary_reference","validated_reference_candidate",""
"RES-021","downloaded_sources","OpenAI","downloaded_sources\OpenAI\ChatGPT Free Tier FAQ _ OpenAI Help Center.pdf","pdf","ChatGPT Free Tier FAQ OpenAI Help Center","primary_reference","validated_reference_candidate",""
"RES-022","downloaded_sources","OpenAI","downloaded_sources\OpenAI\ChatGPT generated links _ OpenAI Help Center.pdf","pdf","ChatGPT generated links OpenAI Help Center","primary_reference","validated_reference_candidate",""
"RES-023","downloaded_sources","OpenAI","downloaded_sources\OpenAI\Creating images in ChatGPT _ OpenAI Help Center.pdf","pdf","Creating images in ChatGPT OpenAI Help Center","primary_reference","validated_reference_candidate",""
"RES-024","downloaded_sources","OpenAI","downloaded_sources\OpenAI\Data analysis with ChatGPT _ OpenAI Help Center.pdf","pdf","Data analysis with ChatGPT OpenAI Help Center","primary_reference","validated_reference_candidate",""
"RES-025","downloaded_sources","OpenAI","downloaded_sources\OpenAI\Does ChatGPT tell the truth_ _ OpenAI Help Center.pdf","pdf","Does ChatGPT tell the truth OpenAI Help Center","primary_reference","validated_reference_candidate",""
"RES-026","downloaded_sources","OpenAI","downloaded_sources\OpenAI\Group Chats in ChatGPT _ OpenAI Help Center.pdf","pdf","Group Chats in ChatGPT OpenAI Help Center","primary_reference","validated_reference_candidate",""
"RES-027","downloaded_sources","OpenAI","downloaded_sources\OpenAI\How do I create a good prompt for an AI model_ _ OpenAI Help Center.pdf","pdf","How do I create a good prompt for an AI model OpenAI Help Center","primary_reference","validated_reference_candidate","High-value item for learning-system expansion."
"RES-028","downloaded_sources","OpenAI","downloaded_sources\OpenAI\Is ChatGPT biased_ _ OpenAI Help Center.pdf","pdf","Is ChatGPT biased OpenAI Help Center","primary_reference","validated_reference_candidate",""
"RES-029","downloaded_sources","OpenAI","downloaded_sources\OpenAI\Is memory different from Custom Instructions_ _ OpenAI Help Center.pdf","pdf","Is memory different from Custom Instructions OpenAI Help Center","primary_reference","validated_reference_candidate",""
"RES-030","downloaded_sources","OpenAI","downloaded_sources\OpenAI\Projects in ChatGPT _ OpenAI Help Center.pdf","pdf","Projects in ChatGPT OpenAI Help Center","primary_reference","validated_reference_candidate",""
"RES-031","downloaded_sources","OpenAI","downloaded_sources\OpenAI\Teen_AI_Literacy_Blueprint_(PDF).pdf","pdf","Teen AI Literacy Blueprint (PDF)","primary_reference","validated_reference_candidate","High-value item for learning-system expansion."
